Acteur;Realisateur;Titre;Genre;Duree;evaluation;Voix_off;Box.office;Evaluation_realisateur;Evaluation_acteur;Oscar
Aaron Taylor-Johnson;Matthew Vaughn;Kick-Ass;Action,Comedy;117;7.7;456749;48.04;7.82;7.79;0
Aaron Taylor-Johnson;Oliver Stone;Savages;Crime,Drama,Thriller;131;6.5;107960;47.31;7.72;7.79;0
Adam Driver;Jim Jarmusch;Paterson;Comedy,Drama,Romance;118;7.5;26089;2.14;8.09;8.01;0
Andrew Garfield;Martin Scorsese;Silence;Adventure,Drama,History;161;7.3;49190;7.08;8.6;8.32;0
Andrew Garfield;Mel Gibson;Hacksaw Ridge;Biography,Drama,History;139;8.2;211760;67.12;8.58;8.32;2
Brad Pitt;Quentin Tarantino;Inglourious Basterds;Adventure,Drama,War;153;8.3;959065;120.52;8.88;8.7;1
Brad Pitt;David Fincher;The Curious Case of Benjamin Button;Drama,Fantasy,Romance;166;7.8;485075;127.49;8.7;8.7;3
Brad Pitt;Robert Zemeckis;Allied;Action,Drama,Romance;124;7.1;78079;40.07;8.15;8.7;0
Bradley Cooper;Clint Eastwood;American Sniper;Action,Biography,Drama;133;7.3;353305;350.12;8.26;8.32;1
Chris Evans;Anthony Russo;Captain America: The Winter Soldier;Action,Adventure,Sci-Fi;136;7.8;542362;259.75;8.17;8.45;0
Chris Evans;Anthony Russo;Captain America: Civil War;Action,Adventure,Sci-Fi;147;7.9;411656;408.08;8.17;8.45;0
Chris Hemsworth;Michael Mann;Blackhat;Crime,Drama,Mystery;133;5.4;43085;7.1;7.95;8.35;0
Chris Hemsworth;Ron Howard;In the Heart of the Sea;Action,Adventure,Biography;122;6.9;90372;24.99;7.51;8.35;0
Christian Bale;Ridley Scott;Exodus: Gods and Kings;Action,Adventure,Drama;150;6;137299;65.01;7.93;8.68;0
Christian Bale;Michael Mann;Public Enemies;Biography,Crime,Drama;140;7;240323;97.03;7.95;8.68;0
Christian Bale;Christopher Nolan;The Dark Knight Rises;Action,Thriller;164;8.5;1222645;448.13;8.71;8.68;0
Christian Bale;Adam McKay;The Big Short;Biography,Comedy,Drama;130;7.8;246360;70.24;7.6;8.68;1
Christian Bale;Christopher Nolan;The Prestige;Drama,Mystery,Sci-Fi;130;8.5;913152;53.08;8.71;8.68;0
Christian Bale;Christopher Nolan;The Dark Knight;Action,Crime,Drama;152;9;1791916;533.32;8.71;8.68;2
Christopher Plummer;Terry Gilliam;The Imaginarium of Doctor Parnassus;Adventure,Fantasy,Mystery;123;6.8;130153;7.69;8.06;7.77;0
Cillian Murphy;Danny Boyle;Sunshine;Adventure,Sci-Fi,Thriller;107;7.3;199860;3.68;7.69;8.57;0
Clint Eastwood;Clint Eastwood;Gran Torino;Drama;116;8.2;595779;148.09;8.26;8.88;0
Colin Firth;Matthew Vaughn;Kingsman: The Secret Service;Action,Adventure,Comedy;129;7.7;440209;128.25;7.82;8.51;0
Daniel Craig;Sam Mendes;Skyfall;Action,Adventure,Thriller;143;7.8;547386;304.36;8.1;8.18;2
Daniel Craig;David Fincher;The Girl with the Dragon Tattoo;Crime,Drama,Mystery;158;7.8;348551;102.52;8.7;8.18;1
Daniel Craig;Sam Mendes;Spectre;Action,Adventure,Thriller;148;6.8;308981;200.07;8.1;8.18;1
Daniel Day-Lewis;Paul Thomas Anderson;There Will Be Blood;Drama,History;158;8.1;400682;40.22;8.27;8.78;2
Daniel Day-Lewis;Steven Spielberg;Lincoln;Biography,Drama,History;150;7.4;207497;182.2;8.12;8.78;2
Denzel Washington;Tony Scott;Unstoppable;Action,Thriller;98;6.8;157499;81.56;7.63;8.53;0
Denzel Washington;Robert Zemeckis;Flight;Drama,Thriller;138;7.3;276347;93.75;8.15;8.53;0
Denzel Washington;Tony Scott;Deja Vu;Action,Sci-Fi,Thriller;126;7;253858;180.56;7.63;8.53;0
Denzel Washington;Ridley Scott;American Gangster;Biography,Crime,Drama;157;7.8;337835;130.13;7.93;8.53;0
Elijah Wood;George Miller;Happy Feet;Animation,Comedy,Family;108;6.5;141141;197.99;7.92;7.85;1
Geoffrey Rush;Giuseppe Tornatore;La migliore offerta;Crime,Drama,Mystery;131;7.8;77986;0.09;8.35;8.71;0
Gerard Butler;Guy Ritchie;RocknRolla;Action,Crime,Thriller;114;7.3;203096;5.69;8.09;8.11;0
Harrison Ford;Steven Spielberg;Indiana Jones and the Kingdom of the Crystal Skull;Action,Adventure,Fantasy;122;6.2;351361;317.01;8.12;8.56;0
